Sector,Sector_name,Institution,State,Tuition
1,"4-year, public",University of Connecticut-Stamford,CT,10668
1,"4-year, public",University of Montevallo,AL,10660
1,"4-year, public",University of Connecticut-Avery Point,CT,10658
1,"4-year, public",University of Connecticut-Tri-Campus,CT,10658
1,"4-year, public",University of Hawaii at Manoa,HI,10620
1,"4-year, public",University of Kentucky,KY,10616
1,"4-year, public",Oakland University,MI,10613
1,"4-year, public",University of Maine,ME,10606
1,"4-year, public",Johnson State College,VT,10604
1,"4-year, public",Ohio University-Main Campus,OH,10602
1,"4-year, public",University of South Carolina-Upstate,SC,10518
1,"4-year, public",University of Kansas,KS,10448
1,"4-year, public",University of Louisville,KY,10432
1,"4-year, public",Lander University,SC,10418
1,"4-year, public",University of Wisconsin-Madison,WI,10410
1,"4-year, public",Indiana University-Bloomington,IN,10388
1,"4-year, public",University of Maryland-Baltimore County,MD,10384
1,"4-year, public",George Mason University,VA,10382
1,"4-year, public",Coastal Carolina University,SC,10320
1,"4-year, public",University of Mary Washington,VA,10312
1,"4-year, public",Millersville University of Pennsylvania,PA,10268
1,"4-year, public",University of Akron Main Campus,OH,10260
1,"4-year, public",Lake Superior State University,MI,10253
1,"4-year, public",The Lincoln University,PA,10232
1,"4-year, public",Auburn University,AL,10200
1,"4-year, public",Arizona State University-Downtown Phoenix,AZ,10157
1,"4-year, public",Arizona State University-Tempe,AZ,10157
1,"4-year, public",South Dakota School of Mines and Technology,SD,10040
1,"4-year, public",Ohio State University-Main Campus,OH,10037
1,"4-year, public",Kent State University at Kent,OH,10012
1,"4-year, public",South Carolina State University,SC,10007
1,"4-year, public",Purdue University-Main Campus,IN,10002
1,"4-year, public",Northern Arizona University,AZ,9990
1,"4-year, public",University of Oregon,OR,9918
1,"4-year, public",Colorado State University-Fort Collins,CO,9897
1,"4-year, public",Chicago State University,IL,9846
1,"4-year, public",The University of Texas at Austin,TX,9830
1,"4-year, public",The University of Alabama,AL,9826
1,"4-year, public",Clarion University of Pennsylvania,PA,9788
1,"4-year, public",Shippensburg University of Pennsylvania,PA,9774
1,"4-year, public",Francis Marion University,SC,9738
1,"4-year, public",Southern Illinois University-Edwardsville,IL,9738
1,"4-year, public",University of Michigan-Flint,MI,9694
1,"4-year, public",Cleveland State University,OH,9686
1,"4-year, public",Texas A & M University-College Station,TX,9685
1,"4-year, public",Arizona State University-Polytechnic,AZ,9683
1,"4-year, public",Arizona State University-West,AZ,9683
