Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude,Longitude
567,715,645,USA,636,"University of North Texas, Denton",209,554,675,367,218,44.27,778,28.58555,-81.17552
567,867,812,USA,731,University of North Dakota,227,606,917,367,218,44.12,913,29.83378,-95.45238
567,850,645,USA,825,University of North Carolina at Greensboro,224,575,899,367,218,44.13,897,46.77089,-100.76324
310,826,511,USA,662,University of North Carolina at Charlotte,212,593,741,367,218,44.25,794,36.07484,-79.77769
69,21,19,USA,32,University of North Carolina at Chapel Hill,25,41,32,124,86,57.09,40,35.30205,-80.73001
567,511,428,USA,840,University of New Orleans,182,871,944,367,218,44.5,609,35.90698,-79.05169
567,147,82,USA,170,University of New Mexico,78,100,223,367,218,47.95,181,30.0259,-90.06687
318,362,234,USA,273,University of New Hampshire,126,596,531,367,79,45.42,359,32.77236,-103.18352
364,381,264,USA,382,"University of Nevada, Reno",148,708,542,367,218,44.93,454,38.90208,-77.04975
448,622,812,USA,473,"University of Nevada, Las Vegas",195,861,640,367,218,44.38,687,39.5412,-119.80611
207,311,234,USA,262,University of Nebraska–Lincoln,117,456,278,165,218,45.8,314,39.5412,-119.80611
365,396,428,USA,606,University of Nebraska Omaha,157,871,704,367,218,44.81,489,40.85969,-96.64229
567,344,368,USA,399,University of Nebraska Medical Center,136,253,463,367,218,45.16,399,41.25756,-96.00493
567,503,428,USA,315,University of Montana - Missoula,174,702,713,353,218,44.54,585,32.32986,-90.17566
371,715,428,USA,524,University of Missouri–St. Louis,203,634,897,367,218,44.3,748,46.86006,-113.9925
480,471,645,USA,447,University of Missouri–Kansas City,169,687,634,311,218,44.61,554,38.66417,-90.33684
88,242,161,USA,226,University of Missouri–Columbia,84,150,222,250,98,47.59,194,39.09979,-94.57856
567,671,511,USA,504,University of Mississippi Medical Center,205,871,775,367,218,44.29,754,38.90991,-92.27625
567,424,428,USA,851,University of Mississippi - Oxford Campus,164,611,508,367,218,44.7,522,32.32986,-90.17566
130,28,31,USA,40,"University of Minnesota, Twin Cities",31,59,23,63,63,55.51,48,34.36503,-89.53189
17,14,6,USA,20,"University of Michigan, Ann Arbor",15,12,3,24,140,68.36,19,45.59052,-95.90007
241,112,82,USA,130,University of Miami,64,73,159,367,218,49.09,137,42.73262,-84.47867
382,741,511,USA,640,University of Memphis,202,394,782,367,218,44.3,746,25.72778,-80.2731
567,122,234,USA,76,University of Massachusetts Medical School,79,143,296,367,80,47.85,183,35.11718,-89.9368
528,946,321,USA,943,University of Massachusetts Lowell,222,304,936,367,218,44.15,884,45.52401,-122.87482
429,796,428,USA,698,University of Massachusetts Boston,215,824,846,367,218,44.21,825,42.656,-71.33031
141,200,212,USA,191,University of Massachusetts Amherst,91,356,198,212,159,47.05,219,42.35107,-71.11088
210,67,39,USA,47,"University of Maryland, College Park",45,280,58,68,43,52.72,72,42.38678,-72.52557
567,402,428,USA,391,"University of Maryland, Baltimore County",158,423,587,367,218,44.8,493,39.29136,-76.61489
567,116,197,USA,112,"University of Maryland, Baltimore",77,180,125,367,218,48.05,175,39.29136,-76.61489
567,637,368,USA,427,"University of Maine, Orono",194,346,788,345,218,44.4,668,39.29136,-76.61489
484,300,368,USA,405,University of Louisville,114,105,338,367,218,45.97,298,45.20978,-67.6113
290,231,321,USA,216,University of Kentucky,103,447,182,332,218,46.37,267,38.26638,-85.69411
91,235,161,USA,161,University of Kansas,85,127,212,228,218,47.52,196,38.21463,-85.76221
296,112,115,USA,83,University of Iowa,67,121,103,233,167,49.01,141,38.9564,-95.25928
75,74,42,USA,48,University of Illinois at Urbana–Champaign,24,65,40,33,21,59.94,33,41.02347,-91.96713
541,179,287,USA,196,University of Illinois at Chicago,88,129,126,367,218,47.39,203,40.11596,-88.18373
