Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
567,216,197,USA,376,University of Texas at San Antonio,112,254,445,367,218,46.1,291,40.0792,-98.8164
442,906,812,USA,838,University of Texas at El Paso,228,706,910,367,218,44.1,929,40.0792,-98.8164
159,49,59,USA,151,University of Texas at Dallas,66,313,250,367,218,49.05,139,40.0792,-98.8164
36,71,26,USA,50,University of Texas at Austin,22,38,48,75,25,61.14,30,40.0792,-98.8164
567,565,511,USA,532,University of Texas at Arlington,185,462,492,367,218,44.47,626,40.0792,-98.8164
117,219,197,USA,187,"University of Tennessee, Knoxville",92,449,196,319,218,46.96,227,40.0792,-98.8164
567,850,812,USA,853,University of Southern Mississippi,225,676,913,367,218,44.13,901,40.0792,-98.8164
62,56,101,USA,64,University of Southern California,34,34,57,152,39,55.12,51,40.0792,-98.8164
418,164,197,USA,251,University of South Florida - Tampa,83,70,233,367,218,47.66,190,40.0792,-98.8164
299,273,146,USA,367,University of South Carolina - Columbia,115,649,262,367,185,45.95,300,40.0792,-98.8164
567,796,812,USA,784,University of South Alabama,219,464,979,367,218,44.19,844,40.0792,-98.8164
53,79,68,USA,118,University of Rochester,49,64,114,72,113,52.03,81,40.0792,-98.8164
265,637,511,USA,385,University of Rhode Island,180,472,664,367,218,44.5,606,40.0792,-98.8164
169,24,21,USA,57,University of Pittsburgh - Pittsburgh Campus,29,50,25,79,218,55.63,46,40.0792,-98.8164
4,9,14,USA,18,University of Pennsylvania,11,14,8,20,28,77.6,14,40.0792,-98.8164
567,295,161,USA,217,University of Oregon,122,729,378,346,218,45.55,339,40.0792,-98.8164
567,375,511,USA,461,University of Oklahoma Health Sciences Center,153,482,580,367,218,44.86,476,40.0792,-98.8164
150,362,234,USA,240,University of Oklahoma - Norman Campus,123,474,383,367,218,45.49,350,40.0792,-98.8164
24,235,182,USA,242,University of Notre Dame,47,352,242,221,155,52.27,77,40.0792,-98.8164
567,715,645,USA,636,"University of North Texas, Denton",209,554,675,367,218,44.27,778,40.0792,-98.8164
567,867,812,USA,731,University of North Dakota,227,606,917,367,218,44.12,913,40.0792,-98.8164
567,850,645,USA,825,University of North Carolina at Greensboro,224,575,899,367,218,44.13,897,40.0792,-98.8164
310,826,511,USA,662,University of North Carolina at Charlotte,212,593,741,367,218,44.25,794,40.0792,-98.8164
69,21,19,USA,32,University of North Carolina at Chapel Hill,25,41,32,124,86,57.09,40,40.0792,-98.8164
567,511,428,USA,840,University of New Orleans,182,871,944,367,218,44.5,609,40.0792,-98.8164
567,147,82,USA,170,University of New Mexico,78,100,223,367,218,47.95,181,40.0792,-98.8164
318,362,234,USA,273,University of New Hampshire,126,596,531,367,79,45.42,359,40.0792,-98.8164
