Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
567,164,264,United Kingdom,294,London School of Hygiene & Tropical Medicine,21,736,300,367,159,46.59,246,52.289,-1.259
65,590,264,United Kingdom,739,London School of Economics,25,871,503,78,91,46.22,279,52.289,-1.259
567,606,511,United Kingdom,395,Liverpool John Moores University,53,871,723,367,218,44.37,696,52.289,-1.259
360,369,234,United Kingdom,398,Lancaster University,35,673,364,367,218,45.08,426,52.289,-1.259
190,74,101,United Kingdom,116,King's College London,7,188,76,27,114,51.31,94,52.289,-1.259
567,606,321,United Kingdom,533,Keele University,49,853,659,367,218,44.4,674,52.289,-1.259
82,19,23,United Kingdom,26,Imperial College London,4,47,19,90,30,59.61,35,52.289,-1.259
335,715,812,United Kingdom,597,Heriot-Watt University,55,439,601,367,218,44.35,707,52.289,-1.259
267,242,197,United Kingdom,199,Durham University,23,460,248,132,116,46.42,261,52.289,-1.259
176,770,812,United Kingdom,762,Cranfield University,44,549,763,367,218,44.52,594,52.289,-1.259
122,880,812,United Kingdom,861,City University London,41,601,785,367,218,44.64,545,52.289,-1.259
218,170,146,United Kingdom,153,Cardiff University,16,193,178,321,143,47.46,201,52.289,-1.259
236,437,511,United Kingdom,676,Brunel University,37,667,497,367,218,44.86,472,52.289,-1.259
567,622,428,United Kingdom,339,"Birkbeck, University of London",54,871,724,300,218,44.37,698,52.289,-1.259
370,529,511,United Kingdom,568,Bangor University,42,342,622,260,218,44.59,568,52.289,-1.259
355,754,645,United Kingdom,895,Aston University,56,306,827,367,218,44.33,720,52.289,-1.259
567,754,511,United Kingdom,552,Aberystwyth University,59,607,842,367,218,44.22,814,52.289,-1.259
521,906,812,United Arab Emirates,851,United Arab Emirates University,1,689,994,367,218,44.08,950,23.9299,53.9031
567,809,645,Uganda,656,Makerere University,1,871,882,367,218,44.16,869,1.9392,32.7415
120,659,511,Turkey,879,Middle East Technical University,1,871,550,367,218,44.87,470,39.144,34.188
386,558,645,Turkey,560,Istanbul University,2,871,684,253,218,44.48,623,39.144,34.188
440,699,368,Turkey,875,Istanbul Technical University,5,839,646,367,218,44.31,742,39.144,34.188
567,549,428,Turkey,630,Hacettepe University,3,871,658,367,218,44.45,634,39.144,34.188
468,809,645,Turkey,942,Gazi University,9,871,750,367,218,44.18,852,39.144,34.188
567,699,511,Turkey,839,Ege University,6,871,761,367,218,44.27,779,39.144,34.188
567,906,812,Turkey,957,Dokuz Eylül University,10,871,931,367,218,44.07,954,39.144,34.188
519,781,511,Turkey,766,Boğaziçi University,7,824,843,367,218,44.19,837,39.144,34.188
475,796,812,Turkey,789,Bilkent University,8,871,781,367,218,44.19,842,39.144,34.188
341,699,511,Turkey,728,Ankara University,4,871,743,367,218,44.33,725,39.144,34.188
567,447,368,Thailand,372,Mahidol University,2,861,476,367,218,44.69,532,15.688,100.845
57,558,511,Thailand,734,Chulalongkorn University,1,871,584,367,218,45.86,311,15.688,100.845
550,754,511,Thailand,753,Chiang Mai University,3,871,847,367,218,44.21,818,15.688,100.845
567,946,812,Taiwan,984,Yuan Ze University,20,871,923,367,218,44.05,979,23.6091,120.8353
567,781,645,Taiwan,883,Taipei Medical University,12,661,499,367,218,44.23,807,23.6091,120.8353
567,495,511,Taiwan,517,National Yang-Ming University,5,824,345,367,218,44.65,542,23.6091,120.8353
520,375,428,Taiwan,425,National Tsing Hua University,4,731,238,262,218,45.14,407,23.6091,120.8353
567,886,812,Taiwan,991,National Taiwan University of Science and Technology,15,823,598,367,218,44.12,916,23.6091,120.8353
25,204,182,Taiwan,223,National Taiwan University,1,695,46,92,218,54.23,57,23.6091,120.8353
413,946,812,Taiwan,940,National Taiwan Ocean University,17,871,790,367,218,44.08,946,23.6091,120.8353
478,906,645,Taiwan,939,National Taiwan Normal University,16,871,731,367,218,44.1,932,23.6091,120.8353
567,781,511,Taiwan,950,National Sun Yat-sen University,11,871,461,367,218,44.24,803,23.6091,120.8353
211,606,511,Taiwan,682,National Chung Hsing University,6,871,412,367,218,44.65,544,23.6091,120.8353
567,809,645,Taiwan,991,National Chung Cheng University,13,871,796,367,218,44.17,865,23.6091,120.8353
206,413,428,Taiwan,651,National Chiao Tung University,3,871,240,367,218,45.24,386,23.6091,120.8353
52,388,812,Taiwan,485,National Cheng Kung University,2,436,164,367,218,46.97,226,23.6091,120.8353
567,520,511,Taiwan,468,National Central University,8,839,384,225,218,44.6,564,23.6091,120.8353
567,699,812,Taiwan,854,Kaohsiung Medical University,10,661,539,367,218,44.29,757,23.6091,120.8353
446,958,812,Taiwan,887,Fu Jen Catholic University,19,824,984,367,218,44.06,971,23.6091,120.8353
434,975,812,Taiwan,991,Feng Chia University,21,871,902,367,218,44.04,983,23.6091,120.8353
320,921,812,Taiwan,962,Chung Yuan Christian University,14,871,779,249,218,44.16,875,23.6091,120.8353
567,946,645,Taiwan,973,Chung Shan Medical University,18,871,727,367,218,44.06,967,23.6091,120.8353
567,671,812,Taiwan,686,China Medical University (Taiwan),9,871,428,367,218,44.35,708,23.6091,120.8353
567,520,812,Taiwan,598,Chang Gung University,7,824,344,367,218,44.6,563,23.6091,120.8353
389,56,68,Switzerland,46,University of Zurich,4,137,56,115,85,51.14,96,46.7794,8.0329
567,671,812,Switzerland,635,University of Neuchâtel,9,640,863,352,218,44.29,758,46.7794,8.0329
423,117,115,Switzerland,101,University of Lausanne,6,683,235,102,218,47.73,186,46.7794,8.0329
191,79,115,Switzerland,77,University of Geneva,3,321,122,35,42,51.46,92,46.7794,8.0329
252,579,428,Switzerland,428,University of Fribourg,8,787,734,232,218,44.58,573,46.7794,8.0329
526,159,93,Switzerland,128,University of Bern,7,433,163,184,213,47.49,200,46.7794,8.0329
363,130,136,Switzerland,100,University of Basel,5,486,167,83,60,48.48,160,46.7794,8.0329
64,79,39,Switzerland,27,Swiss Federal Institute of Technology in Zurich,1,57,44,17,17,66.93,20,46.7794,8.0329
74,110,39,Switzerland,114,Swiss Federal Institute of Technology in Lausanne,2,58,124,367,116,51.47,91,46.7794,8.0329
321,103,93,Sweden,75,Uppsala University,3,871,95,73,70,49.57,124,66.2188,19
294,197,136,Sweden,197,University of Gothenburg,6,871,217,257,116,46.79,237,66.2188,19
567,219,212,Sweden,198,Umeå University,7,871,275,367,218,46.14,287,66.2188,19
567,353,428,Sweden,268,Swedish University of Agricultural Sciences,10,871,393,146,218,45.12,416,66.2188,19
79,179,88,Sweden,89,Stockholm University,5,839,202,129,187,48.23,168,66.2188,19
30,318,321,Sweden,300,Royal Institute of Technology,4,797,221,199,105,49.54,126,66.2188,19
529,549,428,Sweden,747,Örebro University,11,871,816,367,218,44.44,639,66.2188,19
466,60,53,Sweden,135,Lund University,2,871,85,136,169,49.75,117,66.2188,19
237,324,368,Sweden,401,Linköping University,8,871,323,367,218,45.47,355,66.2188,19
567,34,52,Sweden,54,Karolinska Institute,1,743,51,149,36,52.79,71,66.2188,19
311,349,428,Sweden,426,Chalmers University of Technology,9,871,367,361,218,45.16,402,66.2188,19
408,471,428,Spain,675,University of Zaragoza,14,276,342,366,218,44.83,484,40.617,-3.388
567,622,428,Spain,822,University of Vigo,23,621,577,367,218,44.38,686,40.617,-3.388
454,850,812,Spain,888,University of Valladolid,31,407,691,367,218,44.19,841,40.617,-3.388
470,256,264,Spain,348,University of Valencia,4,548,208,367,218,46.03,294,40.617,-3.388
567,480,511,Spain,387,University of the Basque Country,15,266,318,367,218,44.83,485,40.617,-3.388
567,590,428,Spain,558,University of the Balearic Islands,20,503,629,367,218,44.41,660,40.617,-3.388
564,529,428,Spain,516,University of Seville,10,104,339,367,218,45.17,398,40.617,-3.388
489,373,287,Spain,600,University of Santiago de Compostela,7,126,385,367,218,45.4,363,40.617,-3.388
491,565,511,Spain,483,University of Salamanca,18,736,544,367,218,44.44,637,40.617,-3.388
539,495,428,Spain,445,University of Oviedo,16,579,440,367,218,44.61,559,40.617,-3.388
76,503,511,Spain,722,University of Navarra,6,645,578,367,218,45.56,338,40.617,-3.388
567,781,428,Spain,703,University of Murcia,29,479,541,367,218,44.24,799,40.617,-3.388
567,781,645,Spain,830,University of Málaga,24,203,660,367,218,44.37,693,40.617,-3.388
567,837,812,Spain,850,University of Lleida,34,809,883,367,218,44.14,894,40.617,-3.388
567,529,645,Spain,336,University of La Laguna,17,661,514,367,218,44.51,603,40.617,-3.388
567,896,645,Spain,871,University of Jaén,37,563,920,367,218,44.09,935,40.617,-3.388
567,424,321,Spain,449,University of Granada,11,190,303,367,218,45.06,431,40.617,-3.388
567,579,645,Spain,843,University of Girona,21,756,662,367,218,44.4,673,40.617,-3.388
567,826,812,Spain,958,University of Extremadura,33,630,766,367,218,44.16,872,40.617,-3.388
567,659,812,Spain,725,University of Córdoba (Spain),26,633,632,367,218,44.32,734,40.617,-3.388
567,671,812,Spain,751,University of Castilla–La Mancha,27,519,627,367,218,44.31,738,40.617,-3.388
523,646,428,Spain,587,University of Cantabria,25,571,603,367,218,44.35,709,40.617,-3.388
567,969,812,Spain,816,University of Cádiz,36,311,850,367,218,44.1,930,40.617,-3.388
226,83,93,Spain,108,University of Barcelona,1,215,61,367,218,49.79,116,40.617,-3.388
567,896,812,Spain,974,University of Almería,38,681,967,367,218,44.09,940,40.617,-3.388
567,686,812,Spain,779,University of Alicante,22,262,666,367,218,44.38,681,40.617,-3.388
567,796,812,Spain,657,University of Alcalá,32,608,746,367,218,44.18,849,40.617,-3.388
567,975,812,Spain,974,University of A Coruña,40,651,886,367,218,44.02,999,40.617,-3.388
212,770,645,Spain,697,Technical University of Madrid,12,110,470,215,218,45.03,435,40.617,-3.388
567,579,428,Spain,573,Rovira i Virgili University,19,485,555,367,218,44.44,644,40.617,-3.388
567,921,812,Spain,831,Public University of Navarre,39,697,972,367,218,44.07,959,40.617,-3.388
567,318,428,Spain,164,Pompeu Fabra University,9,604,397,367,218,45.31,375,40.617,-3.388
567,437,645,Spain,505,Polytechnic University of Valencia,13,155,386,367,218,45.02,440,40.617,-3.388
330,540,368,Spain,576,Polytechnic University of Catalonia,8,85,371,367,218,45.36,370,40.617,-3.388
567,699,812,Spain,617,Miguel Hernández University of Elche,28,497,757,367,218,44.28,767,40.617,-3.388
567,741,645,Spain,958,Jaume I University,30,643,794,367,218,44.23,808,40.617,-3.388
68,335,368,Spain,309,Complutense University of Madrid,2,256,215,86,214,46.96,228,40.617,-3.388
567,946,812,Spain,958,Carlos III University of Madrid,35,383,643,367,218,44.1,927,40.617,-3.388
460,262,321,Spain,256,Autonomous University of Madrid,5,443,225,367,218,45.92,304,40.617,-3.388
567,213,264,Spain,220,Autonomous University of Barcelona,3,277,144,367,218,46.72,241,40.617,-3.388
45,235,321,South Korea,326,Yonsei University,2,23,140,367,218,51.02,98,36.338,128.16
417,867,812,South Korea,974,Yeungnam University,25,231,761,367,218,44.27,770,36.338,128.16
436,424,645,South Korea,599,University of Ulsan,17,370,421,367,218,44.79,495,36.338,128.16
567,921,645,South Korea,907,University of Seoul,30,259,989,367,218,44.17,860,36.338,128.16
567,984,645,South Korea,912,Ulsan National Institute of Science and Technology,36,349,880,367,218,44.06,973,36.338,128.16
225,270,161,South Korea,317,Sungkyunkwan University,7,69,194,367,218,47.19,211,36.338,128.16
567,921,812,South Korea,798,Sogang University,21,115,806,367,218,44.56,581,36.338,128.16
9,112,146,South Korea,163,Seoul National University,1,6,36,367,218,64.82,24,36.338,128.16
567,837,812,South Korea,845,Sejong University,31,466,788,367,218,44.16,868,36.338,128.16
401,503,428,South Korea,488,Pusan National University,16,147,398,367,218,44.94,452,36.338,128.16
567,896,812,South Korea,962,Pukyong National University,33,356,906,367,218,44.13,898,36.338,128.16
567,281,212,South Korea,355,Pohang University of Science and Technology,5,24,285,367,218,48.24,165,36.338,128.16
412,413,321,South Korea,625,Kyungpook National University,8,66,355,367,218,45.92,307,36.338,128.16
495,558,645,South Korea,584,Kyung Hee University,12,95,380,245,218,45.16,401,36.338,128.16
58,273,321,South Korea,411,Korea University,3,26,172,367,218,49.79,115,36.338,128.16
194,289,368,South Korea,283,Korea Advanced Institute of Science and Technology (KAIST),4,8,183,367,218,48.95,144,36.338,128.16
388,686,812,South Korea,748,Konkuk University,22,204,533,367,218,44.51,602,36.338,128.16
567,781,645,South Korea,819,Kangwon National University,27,428,706,367,218,44.22,812,36.338,128.16
567,809,812,South Korea,928,Inje University,28,331,838,367,218,44.22,813,36.338,128.16
381,565,511,South Korea,780,Inha University,20,273,568,367,218,44.56,578,36.338,128.16
168,396,368,South Korea,471,Hanyang University,6,31,286,367,218,47.6,192,36.338,128.16
567,921,812,South Korea,908,Hallym University,35,565,884,367,218,44.08,952,36.338,128.16
567,606,645,South Korea,673,Gyeongsang National University,15,93,633,367,218,45.04,434,36.338,128.16
567,529,368,South Korea,538,Gwangju Institute of Science and Technology,9,54,540,367,218,45.88,310,36.338,128.16
567,932,812,South Korea,880,Gachon University,34,451,918,367,218,44.08,951,36.338,128.16
567,457,645,South Korea,509,Ewha Womans University,11,107,462,367,218,45.2,390,36.338,128.16
305,997,812,South Korea,917,Dongguk University,19,108,927,367,218,44.61,560,36.338,128.16
567,896,645,South Korea,948,Dankook University,29,241,888,367,218,44.2,834,36.338,128.16
567,622,645,South Korea,563,Chungnam National University,23,290,470,367,218,44.47,628,36.338,128.16
567,809,812,South Korea,859,Chungbuk National University,26,319,745,367,218,44.23,806,36.338,128.16
461,886,511,South Korea,781,Chung-Ang University,24,218,637,367,218,44.29,756,36.338,128.16
567,991,812,South Korea,984,Chosun University,32,209,942,367,218,44.15,878,36.338,128.16
547,437,511,South Korea,589,Chonnam National University,10,109,405,367,218,45.27,384,36.338,128.16
567,646,812,South Korea,774,Chonbuk National University,13,83,507,367,218,45.09,422,36.338,128.16
567,590,645,South Korea,792,Catholic University of Korea,18,139,576,367,218,44.74,511,36.338,128.16
426,671,645,South Korea,729,Ajou University,14,89,646,367,218,45.04,433,36.338,128.16
32,447,321,South Africa,237,University of the Witwatersrand,1,291,442,61,172,48.75,149,-31.7,23.441
262,741,511,South Africa,513,University of Pretoria,5,604,620,367,218,44.39,678,-31.7,23.441
148,579,368,South Africa,397,University of KwaZulu-Natal,4,539,562,367,218,44.85,478,-31.7,23.441
126,265,234,South Africa,236,University of Cape Town,2,268,319,104,146,46.58,248,-31.7,23.441
66,486,321,South Africa,503,Stellenbosch University,3,219,520,367,218,45.92,306,-31.7,23.441
567,754,511,Slovenia,820,University of Maribor,2,752,853,367,218,44.21,820,46.037,14.534
567,457,321,Slovenia,415,University of Ljubljana,1,507,341,367,218,44.77,504,46.037,14.534
567,590,645,Slovak Republic,624,Comenius University in Bratislava,1,871,707,367,218,44.38,685,48.8595,19.4434
98,90,78,Singapore,125,National University of Singapore,1,25,34,367,218,53.44,65,1.3389,103.8297
567,204,212,Singapore,361,Nanyang Technological University,2,32,102,367,218,49.29,135,1.3389,103.8297
567,715,511,Serbia,694,University of Belgrade,1,824,422,276,218,44.33,726,44.021,20.699
182,837,645,Saudi Arabia,539,King Saud University,1,232,560,367,218,44.59,569,24.191,44.32
234,984,812,Saudi Arabia,950,King Fahd University of Petroleum and Minerals,3,871,934,367,218,44.19,847,24.191,44.32
567,946,812,Saudi Arabia,529,King Abdullah University of Science and Technology,2,182,691,367,126,44.36,704,24.191,44.32
449,994,645,Saudi Arabia,430,King Abdulaziz University,4,839,595,367,218,44.03,995,24.191,44.32
250,754,645,Russia,574,Saint Petersburg State University,3,816,621,47,218,45.14,406,64.736,104.062
567,991,645,Russia,858,Novosibirsk State University,5,871,819,167,218,44.04,985,64.736,104.062
567,671,428,Russia,699,National Research Nuclear University MEPhI,4,871,957,306,218,44.29,755,64.736,104.062
339,1000,812,Russia,605,Moscow Institute of Physics and Technology,2,839,949,23,218,46.55,250,64.736,104.062
175,344,287,Russia,254,Lomonosov Moscow State University,1,861,268,14,48,54.19,59,64.736,104.062
567,975,645,Romania,804,University of Bucharest,1,871,845,237,218,44.04,986,45.933,25.119
567,958,812,Romania,855,Babeș-Bolyai University,2,871,874,367,218,44.04,987,45.933,25.119
567,921,645,Puerto Rico,793,University of Puerto Rico at Mayagüez,1,871,998,367,218,44.06,962,18.242,-66.643
567,969,812,Portugal,845,University of the Algarve,7,816,926,367,218,44.03,996,40.957,-7.9373
316,341,264,Portugal,380,University of Porto,2,405,266,94,90,45.91,308,40.957,-7.9373
567,606,287,Portugal,652,University of Minho,6,363,588,367,218,44.46,629,40.957,-7.9373
465,251,197,Portugal,296,University of Lisbon,1,495,155,337,152,46.43,257,40.957,-7.9373
567,424,645,Portugal,423,University of Coimbra,3,459,415,359,218,44.75,507,40.957,-7.9373
567,590,511,Portugal,680,University of Aveiro,4,212,413,367,218,44.61,557,40.957,-7.9373
567,540,645,Portugal,477,Universidade Nova de Lisboa,5,590,506,367,218,44.49,612,40.957,-7.9373
409,946,645,Poland,947,Wrocław University of Technology,8,861,798,367,218,44.09,944,52.442,19.72
545,579,287,Poland,757,Warsaw University of Technology,3,824,696,344,218,44.43,646,52.442,19.72
567,880,645,Poland,842,University of Wrocław,7,871,736,355,218,44.12,921,52.442,19.72
562,437,428,Poland,462,University of Warsaw,2,716,409,118,150,44.91,462,52.442,19.72
567,932,511,Poland,864,University of Silesia,9,871,867,367,218,44.06,964,52.442,19.72
567,867,511,Poland,821,Nicolaus Copernicus University in Toruń,6,698,873,367,218,44.12,911,52.442,19.72
567,375,645,Poland,465,Jagiellonian University,1,355,403,367,218,44.94,451,52.442,19.72
279,896,511,Poland,891,AGH University of Science and Technology,4,398,708,267,218,44.26,782,52.442,19.72
567,932,812,Poland,775,Adam Mickiewicz University in Poznań,5,657,675,150,218,44.14,890,52.442,19.72
567,447,287,Norway,407,University of Tromsø - The Arctic University of Norway,4,824,493,367,218,44.7,527,61.3701,9.3031
286,102,101,Norway,134,University of Oslo,1,302,106,53,40,50.81,99,61.3701,9.3031
567,227,212,Norway,201,University of Bergen,3,871,229,367,218,46.18,283,61.3701,9.3031
119,273,212,Norway,366,Norwegian University of Science and Technology,2,327,279,252,75,46.67,243,61.3701,9.3031
567,715,511,Norway,570,Norwegian University of Life Sciences,5,782,769,367,218,44.26,789,61.3701,9.3031
223,646,645,New Zealand,469,Victoria University of Wellington,4,809,606,317,218,44.54,588,-42.558,172.377
474,906,511,New Zealand,870,University of Waikato,6,703,945,367,218,44.09,937,-42.558,172.377
377,313,287,New Zealand,353,University of Otago,2,542,312,367,218,45.44,357,-42.558,172.377
195,606,428,New Zealand,437,University of Canterbury,3,871,569,190,218,44.68,533,-42.558,172.377
419,256,234,New Zealand,260,University of Auckland,1,125,253,235,218,46.38,266,-42.558,172.377
496,579,812,New Zealand,554,Massey University,5,723,570,367,218,44.42,658,-42.558,172.377
512,235,234,Netherlands,168,Wageningen University and Research Centre,10,477,214,293,175,46.26,276,52.1704,5.0102
385,79,68,Netherlands,120,VU University Amsterdam,6,871,79,367,218,49.44,129,52.1704,5.0102
199,46,59,Netherlands,44,Utrecht University,2,429,39,84,115,51.74,87,52.1704,5.0102
511,358,368,Netherlands,511,University of Twente,12,288,343,367,218,45.14,408,52.1704,5.0102
193,67,68,Netherlands,96,University of Groningen,4,316,64,313,196,50.1,110,52.1704,5.0102
317,60,93,Netherlands,88,University of Amsterdam,5,282,70,109,212,49.83,114,52.1704,5.0102
289,732,428,Netherlands,878,Tilburg University,13,871,566,367,218,44.37,689,52.1704,5.0102
274,74,93,Netherlands,119,Radboud University Nijmegen,7,410,89,128,218,49.3,134,52.1704,5.0102
567,156,234,Netherlands,354,Maastricht University,8,281,185,367,218,47,225,52.1704,5.0102
567,56,53,Netherlands,94,Leiden University,3,260,82,120,102,50.17,108,52.1704,5.0102
46,44,53,Netherlands,147,Erasmus University Rotterdam,1,227,87,367,189,51.78,85,52.1704,5.0102
347,318,321,Netherlands,549,Eindhoven University of Technology,11,279,306,367,186,45.51,348,52.1704,5.0102
300,247,264,Netherlands,224,Delft University of Technology,9,146,224,307,218,46.46,255,52.1704,5.0102
567,741,428,Mexico,579,National Polytechnic Institute,2,620,573,330,218,44.26,786,22.925,-101.68
546,330,368,Mexico,219,National Autonomous University of Mexico,1,486,199,282,218,45.58,334,22.925,-101.68
567,809,428,Malaysia,888,"University of Science, Malaysia",1,94,669,367,218,44.84,482,4.416,102.099
138,741,428,Malaysia,877,University of Malaya,2,274,572,367,218,44.79,498,4.416,102.099
567,989,812,Malaysia,900,"Putra University, Malaysia",3,114,860,367,218,44.49,610,4.416,102.099
567,715,645,Lithuania,642,Vilnius University,1,684,799,340,218,44.25,791,55.342,24.23
247,880,812,Lebanon,892,American University of Beirut,1,871,915,114,218,44.38,682,34.161,36.021
217,809,645,Japan,865,Yokohama National University,28,440,909,88,135,44.72,518,35.962,137.855
231,520,645,Japan,370,Yokohama City University,27,359,685,367,218,44.73,513,35.962,137.855
567,732,645,Japan,787,Yamaguchi University,41,202,753,367,218,44.42,657,35.962,137.855
567,686,812,Japan,736,Yamagata University,52,535,775,367,218,44.29,760,35.962,137.855
8,388,368,Japan,389,Waseda University,4,248,406,288,218,58.17,38,35.962,137.855
567,715,645,Japan,862,University of Yamanashi,51,382,869,367,218,44.29,759,35.962,137.855
567,242,212,Japan,255,University of Tsukuba,12,213,230,202,107,46.41,262,35.962,137.855
307,646,645,Japan,760,University of Toyama,42,871,685,367,218,44.41,666,35.962,137.855
3,29,31,Japan,19,University of Tokyo,1,7,14,16,38,78.23,13,35.962,137.855
567,529,645,Japan,453,University of Tokushima,26,247,643,107,218,44.73,512,35.962,137.855
567,796,645,Japan,663,University of the Ryukyus,64,618,922,367,218,44.18,855,35.962,137.855
567,826,645,Japan,692,University of Miyazaki,62,393,952,290,218,44.19,839,35.962,137.855
567,686,511,Japan,475,University of Hyogo,53,787,813,367,218,44.28,763,35.962,137.855
567,850,812,Japan,797,University of Fukui,68,610,950,367,218,44.13,900,35.962,137.855
567,906,645,Japan,833,University of Electro-Communications,63,332,857,161,218,44.19,840,35.962,137.855
343,741,511,Japan,721,Tottori University,49,390,908,367,218,44.32,736,35.962,137.855
567,480,511,Japan,594,Tokyo Women's Medical University,32,362,787,367,218,44.61,555,35.962,137.855
567,457,428,Japan,530,Tokyo University of Science,23,191,530,367,218,44.84,481,35.962,137.855
567,606,511,Japan,756,Tokyo University of Agriculture and Technology,38,264,641,367,218,44.47,624,35.962,137.855
415,413,321,Japan,460,Tokyo Metropolitan University,25,574,593,367,218,44.78,501,35.962,137.855
567,335,645,Japan,352,Tokyo Medical and Dental University,15,272,473,367,218,45.2,392,35.962,137.855
50,190,136,Japan,169,Tokyo Institute of Technology,8,52,169,170,128,50.13,109,35.962,137.855
567,540,645,Japan,644,Tokai University,37,448,721,367,218,44.48,622,35.962,137.855
170,119,115,Japan,127,Tohoku University,6,22,68,41,218,52.57,73,35.962,137.855
567,699,812,Japan,824,Toho University,46,787,836,367,159,44.33,727,35.962,137.855
567,850,812,Japan,767,Teikyo University,70,803,966,367,218,44.12,908,35.962,137.855
567,715,645,Japan,759,Showa University,59,727,985,367,218,44.24,800,35.962,137.855
476,826,645,Japan,708,Shizuoka University,39,163,834,367,218,44.43,648,35.962,137.855
517,486,368,Japan,602,Shinshu University,30,244,594,367,218,44.7,529,35.962,137.855
567,850,645,Japan,717,Shimane University,69,695,956,367,218,44.13,903,35.962,137.855
567,637,645,Japan,837,Sapporo Medical University,44,441,975,367,218,44.35,713,35.962,137.855
349,932,511,Japan,609,Saitama University,71,545,959,367,218,44.12,909,35.962,137.855
567,732,645,Japan,586,Saitama Medical University,58,488,993,367,218,44.25,798,35.962,137.855
567,715,812,Japan,791,Saga University,55,435,808,367,218,44.27,773,35.962,137.855
325,984,511,Japan,882,Ritsumeikan University,72,430,906,367,218,44.1,926,35.962,137.855
39,67,182,Japan,58,Osaka University,5,18,50,46,75,56.03,45,35.962,137.855
411,686,812,Japan,671,Osaka Prefecture University,33,187,688,367,218,44.52,598,35.962,137.855
414,471,321,Japan,536,Osaka City University,22,374,484,108,218,44.86,474,35.962,137.855
288,318,287,Japan,335,Okayama University,11,60,353,367,218,46.59,245,35.962,137.855
285,447,511,Japan,514,Niigata University,20,238,527,367,218,44.88,468,35.962,137.855
565,637,812,Japan,588,Nihon University,21,113,599,301,218,44.86,473,35.962,137.855
567,495,645,Japan,329,Nara Institute of Science and Technology,31,270,773,367,218,44.63,547,35.962,137.855
322,195,146,Japan,140,Nagoya University,9,78,138,39,53,49.57,125,35.962,137.855
504,921,645,Japan,958,Nagoya Institute of Technology,60,229,825,367,218,44.2,827,35.962,137.855
333,565,368,Japan,525,Nagoya City University,34,400,785,367,218,44.52,599,35.962,137.855
214,529,645,Japan,607,Nagasaki University,24,233,614,299,218,44.82,486,35.962,137.855
567,741,645,Japan,860,Mie University,57,368,835,367,218,44.27,780,35.962,137.855
49,200,264,Japan,182,Kyushu University,7,37,152,367,218,50.6,100,35.962,137.855
16,60,88,Japan,42,Kyoto University,2,16,30,22,24,68.6,17,35.962,137.855
567,637,645,Japan,752,Kyoto Prefectural University of Medicine,47,871,852,367,218,44.33,728,35.962,137.855
567,921,812,Japan,868,Kyoto Institute of Technology,67,287,982,367,218,44.14,887,35.962,137.855
567,699,812,Japan,770,Kurume University,54,473,986,367,218,44.27,771,35.962,137.855
353,409,428,Japan,441,Kumamoto University,17,152,495,308,218,45.11,419,35.962,137.855
567,781,812,Japan,788,Kōchi University,61,536,942,367,218,44.19,838,35.962,137.855
240,335,321,Japan,271,Kobe University,14,301,368,95,116,45.74,320,35.962,137.855
567,646,812,Japan,595,Kitasato University,48,871,725,367,218,44.32,732,35.962,137.855
567,686,428,Japan,712,Kindai University,50,437,680,367,218,44.32,737,35.962,137.855
5,270,368,Japan,246,Keio University,3,80,309,284,218,59.84,34,35.962,137.855
416,381,511,Japan,419,Kanazawa University,18,350,474,367,218,44.92,457,35.962,137.855
281,715,511,Japan,706,Kagoshima University,36,251,733,367,218,44.48,619,35.962,137.855
567,362,428,Japan,498,Juntendo University,19,853,653,367,218,44.9,465,35.962,137.855
567,686,645,Japan,711,Jikei University School of Medicine,56,797,959,367,218,44.27,775,35.962,137.855
567,637,511,Japan,633,Jichi Medical University,45,641,930,367,218,44.33,722,35.962,137.855
567,946,645,Japan,448,Ibaraki University,74,562,999,367,218,44.06,970,35.962,137.855
277,251,287,Japan,173,Hokkaido University,10,53,148,279,135,47.97,178,35.962,137.855
567,273,428,Japan,287,Hiroshima University,13,112,304,367,218,46.12,290,35.962,137.855
505,906,511,Japan,844,Hirosaki University,73,693,951,367,218,44.08,945,35.962,137.855
567,826,645,Japan,917,Hamamatsu University School of Medicine,66,470,990,367,218,44.17,863,35.962,137.855
567,590,511,Japan,531,Gunma University,35,252,627,367,218,44.5,608,35.962,137.855
567,420,645,Japan,291,Graduate University for Advanced Studies,29,871,613,367,218,44.7,524,35.962,137.855
567,606,645,Japan,658,Gifu University,43,403,701,367,218,44.4,670,35.962,137.855
567,837,812,Japan,876,Fukuoka University,65,416,971,367,218,44.17,862,35.962,137.855
514,590,511,Japan,582,Ehime University,40,418,619,367,218,44.43,651,35.962,137.855
567,362,368,Japan,343,Chiba University,16,267,361,367,218,45.11,418,35.962,137.855
567,260,321,Italy,279,Vita-Salute San Raffaele University,11,871,478,367,218,45.61,329,44.3713,11.1084
567,341,212,Italy,464,University of Verona,21,736,508,367,218,45.13,411,44.3713,11.1084
567,396,511,Italy,390,University of Udine,25,634,600,367,218,44.78,500,44.3713,11.1084
450,150,197,Italy,278,University of Turin,5,613,206,315,163,47.04,221,44.3713,11.1084
443,281,287,Italy,286,University of Trieste,13,616,395,367,218,45.54,342,44.3713,11.1084
